"idPop"','"Sexe"','"annee"','"taux"','"idP"
('1TOT1964','TOT','1964','43','1')
('1TOT1966','TOT','1966','40','1')
('1TOT1969','TOT','1969','37','1')
('17TOT2004','TOT','2004','27','17')
('17TOT2005','TOT','2005','23','17')
('17TOT2006','TOT','2006','21','17')
('17TOT2007','TOT','2007','21','17')
('17TOT2008','TOT','2008','20','17')
('17TOT2009','TOT','2009','19','17')
('17TOT2010','TOT','2010','18,3','17')
('17TOT2011','TOT','2011','16,9','17')
('17TOT2012','TOT','2012','16,8','17')
('17TOT2013','TOT','2013','15,7','17')
('17TOT2014','TOT','2014','15,3','17')
('17TOT2015','TOT','2015','15','17')
('17TOT2016','TOT','2016','14,9','17')
('17TOT2017','TOT','2017','16','17')
('17TOT2018','TOT','2018','14,5','17')
('17TOT2019','TOT','2019','16,8','17')
('17TOT2020','TOT','2020','16,9','17')
('18TOT2000','TOT','2000','12,4','18')
('18TOT2002','TOT','2002','14,6','18')
('18TOT2006','TOT','2006','13','18')
('18TOT2008','TOT','2008','10,8','18')
('18TOT2009','TOT','2009','7,6','18')
('18TOT2011','TOT','2011','10,3','18')
('18TOT2012','TOT','2012','11,8','18')
('18TOT2015','TOT','2015','7,6','18')
('18TOT2017','TOT','2017','7,6','18')
('19TOT1966','TOT','1966','61','19')
('19TOT1967','TOT','1967','60','19')
('19TOT1970','TOT','1970','59','19')
('19TOT1971','TOT','1971','55','19')
('19TOT1975','TOT','1975','53','19')
('19TOT1978','TOT','1978','48','19')
('19TOT1979','TOT','1979','45','19')
('19TOT1980','TOT','1980','43','19')
('19TOT1981','TOT','1981','42','19')
('19TOT1982','TOT','1982','37','19')
('19TOT1983','TOT','1983','42','19')
('19TOT1984','TOT','1984','39','19')
('19TOT1985','TOT','1985','39','19')
('19TOT1986','TOT','1986','38','19')
('19TOT1987','TOT','1987','37','19')
('19TOT1988','TOT','1988','33','19')
('19TOT1989','TOT','1989','33','19')
('19TOT1990','TOT','1990','37','19')
('19TOT1991','TOT','1991','38','19')
('19TOT1992','TOT','1992','37','19')
('19TOT1993','TOT','1993','36','19')
('19TOT1994','TOT','1994','37','19')
('19TOT1995','TOT','1995','36','19')
('19TOT1996','TOT','1996','36','19')
('19TOT1997','TOT','1997','36','19')
('19TOT1998','TOT','1998','35','19')
('19TOT1999','TOT','1999','34','19')
('19TOT2000','TOT','2000','32','19')
('19TOT2001','TOT','2001','28,8','19')
('19TOT2002','TOT','2002','27,6','19')
('19TOT2003','TOT','2003','26,7','19')
('19TOT2004','TOT','2004','25,4','19')
('19TOT2005','TOT','2005','25,2','19')
('19TOT2006','TOT','2006','25,2','19')
('19TOT2007','TOT','2007','23,1','19')
('19TOT2008','TOT','2008','23,3','19')
('19TOT2009','TOT','2009','22,6','19')
('19TOT2010','TOT','2010','20,9','19')
('19TOT2011','TOT','2011','20,8','19')
('19TOT2012','TOT','2012','18,4','19')
('19TOT2013','TOT','2013','18,5','19')
('19TOT2014','TOT','2014','19,1','19')
('19TOT2015','TOT','2015','19','19')
('19TOT2016','TOT','2016','18','19')
('19TOT2017','TOT','2017','16,8','19')
('19TOT2018','TOT','2018','15,5','19')
('19TOT2019','TOT','2019','15,4','19')
('20TOT1976','TOT','1976','36','20')
('20TOT1981','TOT','1981','32','20')
('20TOT1983','TOT','1983','33','20')
('20TOT1984','TOT','1984','32','20')
